tt1761005,Persecuted,Persecuted,2014,2014-07-18,"Action, Drama, Mystery",91,USA,English,Daniel Lusko,Daniel Lusko,Indieproduction,"James Remar, Dean Stockwell, Bruce Davison, Raoul Max Trujillo, Fred Thompson, Tabatha Shaun, Matthew Page, John Christian Love, Mark Sivertsen, Gretchen Carlson, David House, Debrianna Mansini, Forrest Fyre, Brad Stine, Amy Baklini",An evangelist finds himself framed for murder and on the run after he refuses to back a senator's proposition calling for sweeping religious reform.,$ 1500000,$ 1558836,$ 1558836
tt1762399,A spasso con i dinosauri,Walking with Dinosaurs 3D,2013,2014-01-23,"Animation, Adventure, Family",87,"UK, Australia, USA",English,"Barry Cook, Neil Nightingale","John Collee, Gerry Swallow",Animal Logic,"Charlie Rowe, Karl Urban, Angourie Rice, John Leguizamo, Justin Long, Skyler Stone, Tiya Sircar, Clay Savage, Jude Tinsely, Mary Mouser, Katie Silverman, Madison Rothschild, Michael Leone","See and feel what it was like when dinosaurs ruled the Earth, in a story where an underdog dino triumphs to become a hero for the ages.",$ 80000000,$ 36076121,$ 126546518
tt1763264,No One Lives,No One Lives,2012,2013-05-10,"Horror, Thriller",86,"USA, UK",English,Ryûhei Kitamura,David Cohen,Milk & Media,"Luke Evans, Adelaide Clemens, Lee Tergesen, Derek Magyar, America Olivo, Beau Knapp, Lindsey Shaw, Tyrus, Laura Ramsey, Gary Grubbs, Andrea Frankle, Rob Steinberg, Jake Austin Walker, Dalton E. Gray, Lenore Banks",A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.,$ 2900000,$ 74918,$ 1048704
tt1763303,The First Time,The First Time,2012,2013-02-07,"Comedy, Drama, Romance",95,USA,English,Jonathan Kasdan,Jonathan Kasdan,Samuel Goldwyn Films,"Britt Robertson, Dylan O'Brien, Craig Roberts, Joshua Malina, James Frecheville, Christine Taylor, Victoria Justice, Lamarcus Tinker, Maggie Elizabeth Jones, Halston Sage, Molly C. Quinn, Matthew Fahey, Chase Levy",A shy senior and a down-to-earth junior fall in love over one weekend.,$ 2000000,$ 22836,$ 92654
tt1764183,La frode,Arbitrage,2012,2013-03-14,"Drama, Thriller",107,"USA, Poland",English,Nicholas Jarecki,Nicholas Jarecki,Lionsgate,"Richard Gere, Susan Sarandon, Tim Roth, Brit Marling, Laetitia Casta, Nate Parker, Stuart Margolin, Chris Eigeman, Graydon Carter, Bruce Altman, Larry Pine, Curtiss Cook, Reg E. Cathey, Felix Solis, Tibor Feldman",A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,$ 12000000,$ 7919574,$ 35485056
tt1764234,Cogan - Killing Them Softly,Killing Them Softly,2012,2012-10-18,"Crime, Drama, Thriller",97,USA,English,Andrew Dominik,"Andrew Dominik, George V. Higgins",Plan B Entertainment,"Brad Pitt, Scoot McNairy, Ben Mendelsohn, James Gandolfini, Richard Jenkins, Vincent Curatola, Ray Liotta, Trevor Long, Max Casella, Sam Shepard, Slaine, Linara Washington, Ross Brodar, Wade Allen, Christopher Berry","Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",$ 15000000,$ 15026056,$ 37930465
tt1764651,I mercenari 2,The Expendables 2,2012,2012-08-17,"Action, Adventure, Thriller",103,"USA, Germany, Bulgaria, China",English,Simon West,"Richard Wenk, Sylvester Stallone",Lionsgate,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Chuck Norris, Jean-Claude Van Damme, Bruce Willis, Arnold Schwarzenegger, Terry Crews, Randy Couture, Liam Hemsworth, Scott Adkins, Nan Yu, Amanda Ooms, Charisma Carpenter","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",$ 100000000,$ 85028192,$ 314975955
tt1767382,Silent House,Silent House,2011,2012-03-09,"Drama, Horror, Mystery",86,"USA, France",English,"Chris Kentis, Laura Lau","Gustavo Hernández, Laura Lau",Elle Driver,"Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens, Julia Chan, Adam Barnett, Haley Murphy",A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house with mysterious energy and consequences.,$ 2000000,$ 12754783,$ 16527747
tt1772230,Xin hai ge ming,Xin hai ge ming,2011,2011-09-23,"Action, Adventure, Drama",121,"China, Hong Kong","Mandarin, English, French","Tao Hai, Wei Li","Xingdong Wang, Baoguang Chen",Beijing Alnair Culture & Media,"Jackie Chan, Winston Chao, Bingbing Li, Chun Sun, Joan Chen, Wu Jiang, Jaycee Chan, Ge Hu, Jing Ning, Shaoqun Yu, Yu-Hang To, Zhi-zhong Huang, Ting Mei, Duobujie, Simon Dutton",A historical drama based on the founding of the Republic of China when nationalist forces led by Sun Yat-sen overthrew the Qing Dynasty.,$ 18000000,$ 135739,$ 3807134
tt1772240,Apollo 18,Apollo 18,2011,2011-09-02,"Horror, Mystery, Sci-Fi",86,"USA, Canada",English,Gonzalo López-Gallego,Brian Miller,Dimension Films,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa, Andrew Airlie, Kurt Max Runte, Jan Bos, Kim Wylie, Noah Wylie, Ali Liebert, Erica Carroll","Decades-old found footage from NASA's abandoned Apollo 18 mission, where three American astronauts were sent on a secret expedition, reveals the reason the U.S. has never returned to the moon.",$ 5000000,$ 17687709,$ 26236153
tt1772288,La canzone della vita - Danny Collins,Danny Collins,2015,2015-04-10,"Biography, Comedy, Drama",106,USA,English,Dan Fogelman,Dan Fogelman,Big Indie Pictures,"Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale, Christopher Plummer, Katarina Cas, Giselle Eisenberg, Melissa Benoist, Josh Peck, Brian Thomas Smith, Scott Lawrence, Michael Patrick McGill, Kiff VandenHeuvel, Nick Offerman, Eric Michael Roy",An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by,$ 10000000,$ 5637066,$ 10835752
tt1772341,Ralph Spaccatutto,Wreck-It Ralph,2012,2012-12-20,"Animation, Adventure, Comedy",101,USA,English,Rich Moore,"Rich Moore, Phil Johnston",Walt Disney Animation Studios,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch, Alan Tudyk, Mindy Kaling, Joe Lo Truglio, Ed O'Neill, Dennis Haysbert, Edie McClurg, Raymond S. Persi, Jess Harnell, Rachael Harris, Skylar Astin, Adam Carolla","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",$ 165000000,$ 189422889,$ 471222889
tt1772424,E ora dove andiamo?,Et maintenant on va où?,2011,2012-01-20,"Comedy, Drama",110,"France, Lebanon, Egypt, Italy, Qatar","Arabic, English, Russian",Nadine Labaki,"Thomas Bidegain, Rodney El Haddad",Les Films des Tournelles,"Claude Baz Moussawbaa, Layla Hakim, Nadine Labaki, Yvonne Maalouf, Antoinette Noufaily, Julian Farhat, Ali Haidar, Kevin Abboud, Petra Saghbini, Mostafa Al Sakka, Sasseen Kawzally, Caroline Labaki, Anjo Rihane, Mohamad Akil, Gisèle Smeden",A group of Lebanese women try to ease religious tensions between Christians and Muslims in their village.,$ 6700000,$ 531997,$ 7507008
tt1773109,Yamla Pagla Deewana,Yamla Pagla Deewana,2011,2011-01-14,"Action, Comedy, Drama",163,India,"Hindi, Punjabi",Samir Karnik,"Jasvinder Bath, Jasvinder Bath",NH Studioz,"Nafisa Ali, Yugesh Anil, Madhuri Bhattacharya, Emma Brown Garett, Mahek Chahal, Bobby Deol, Sunny Deol, Mukul Dev, Ajay Devgn, Dharmendra, Puneet Issar, Sucheta Khanna, Anupam Kher, Johnny Lever, Himanshu Malik",A married Canadian travels to India to re-unite with his estranged father and brother but faces obstacles and challenges.,$ 4340000,$ 993031,$ 1597269
tt1777595,50 a 1,50 to 1,2014,2014-03-21,Drama,110,USA,"English, Portuguese",Jim Wilson,"Faith Conroy, Jim Wilson",Ten Furlongs,"Skeet Ulrich, Christian Kane, William Devane, Madelyn Deutch, Todd Lowe, David Atkinson, Calvin Borel, Bruce Wayne Eckelman, Hugo Perez, Eloy Casados, Tish Rayburn-Miller, Jessi Badami, Judith Jones, Benjamin Glenday, Bernardo Saracino","Based on the inspiring true story of Mine That Bird, a misfit group of New Mexico cowboys find themselves on the journey of a lifetime when their crooked-footed racehorse qualifies for the 2009 Kentucky Derby.",$ 10000000,$ 1064454,$ 1064454
tt1778304,Paranormal Activity 3,Paranormal Activity 3,2011,2011-10-21,"Horror, Mystery, Thriller",83,USA,English,"Henry Joost, Ariel Schulman","Christopher Landon, Oren Peli",Paramount Pictures,"Lauren Bittner, Christopher Nicholas Smith, Chloe Csengery, Jessica Tyler Brown, Hallie Foote, Dustin Ingram, Johanna Braddy, Katie Featherston, Brian Boland, Sprague Grayden, William Juan Prieto, Jackson Xenia Prieto, Paitoon Cheng, Eddie Medrano, Rebecca Delgado Smith","In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home.",$ 5000000,$ 104028807,$ 207039844
tt1778924,L'ultima ricchezza,The Ultimate Life,2013,2013-09-06,"Drama, Romance",105,USA,English,Michael Landon Jr.,"Brian Bird, Cheryl McKay",The Ultimate Life,"Logan Bartholomew, Ali Hillis, Lee Meriwether, Bill Cobbs, Austin James, Jack DePew, Peter Fonda, Abigail Mavity, Drew Waters, Bechir Sylvain, Elizabeth Ann Bennett, Dane Northcutt, James Adduci, Joshua Brady, Linda Britt",A billionaire with questionable priorities re-examines his life after discovering his grandfather's journal.,$ 3100000,$ 1327841,$ 1327841
tt1780762,Aftershock,Aftershock,2012,2014-06-12,"Action, Adventure, Horror",89,"USA, Chile","Spanish, English",Nicolás López,"Nicolás López, Eli Roth",Sobras International Pictures,"Eli Roth, Andrea Osvárt, Ariel Levy, Natasha Yarovenko, Nicolás Martínez, Lorenza Izzo, Marcial Tagle, Ramón Llao, Ignacia Allamand, Paz Bascuñán, Matías López, Patricio Strahovsky, Álvaro López Álvarez, Adrián Salgado, Enrique Quiroz","In Chile, a group of travelers who are in an underground nightclub when a massive earthquake hits quickly learn that reaching the surface is just the beginning of their nightmare.",$ 2000000,$ 58510,$ 294696
tt1780798,Il Clown,Clown,2014,2014-11-13,"Drama, Fantasy, Horror",100,"USA, Canada",English,Jon Watts,"Christopher Ford, Jon Watts",Cross Creek Pictures,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano, Chuck Shamata, Elizabeth Whitmere, Victor Cornfoot, Lucas Kelly, Emily Burley, Matthew Stefiuk, Michael Riendeau, Miller Timlin, Robert Reynolds, Antonio Najera, Alex Pacheco","A loving father finds a clown suit for his son's birthday party, only to realize that it's cursed.",$ 1500000,$ 55007,$ 4381603
tt1781769,Anna Karenina,Anna Karenina,2012,2013-02-21,"Drama, Romance",129,UK,English,Joe Wright,"Tom Stoppard, Leo Tolstoy",Universal Pictures,"Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey, Cecily Morrissey, Freya Galpin, Octavia Morrissey, Beatrice Morrissey, Marine Battier, Keira Knightley, Guro Nagelhus Schia, Aruhan Galieva, Jude Law, Carl Grose, Bryan Hands","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",$ 40600000,$ 12816367,$ 68929150
tt1781827,Hands of Stone,Hands of Stone,2016,2016-08-26,"Biography, Drama, Sport",111,"Panama, USA","English, Spanish",Jonathan Jakubowicz,Jonathan Jakubowicz,Fuego Films,"Edgar Ramírez, Robert De Niro, Usher Raymond, Rubén Blades, Ana de Armas, Pedro Perez, Óscar Jaenada, John Turturro, Ellen Barkin, Jurnee Smollett, Yancey Arias, Drena De Niro, Ilza Ponko, Anthony Molinari, Rick Avery",The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,$ 20000000,$ 4712792,$ 4978353
