nm0002253,John Carroll Lynch,John Carroll Lynch,193,"August 1, 1963 in Boulder, Colorado, USA",1963-08-01,"Boulder, Colorado, USA",,
nm0002332,Stephen Lang,Stephen Lang,179,"July 11, 1952 in New York City, New York, USA",1952-07-11,"New York City, New York, USA",,
nm0002336,Declan Quinn,Declan Quinn,,"1957 in Chicago, Illinois, USA","1957 in Chicago, Illinois, USA","Chicago, Illinois, USA",,
nm0002339,Allen Coulter,Allen Coulter,,,,,,
nm0002353,Thomas Newman,Thomas Montgomery Newman,178,"October 20, 1955 in Los Angeles, California, USA",1955-10-20,"Los Angeles, California, USA",,
nm0002354,John Williams,John Towner Williams,182,"February 8, 1932 in Flushing, Queens, New York City, New York, USA",1932-02-08,"Flushing, Queens, New York City, New York, USA",,
nm0002366,Christopher Young,Robert Gilchrist Ilsley Young,,"April 28, 1957 in Redbank, New Jersey, USA",1957-04-28,"Redbank, New Jersey, USA",,
nm0002368,Tom Flynn,Tom Flynn,,,,,,
nm0002376,David Hare,David Hare,192,"June 5, 1947 in Sussex, England, UK",1947-06-05,"Sussex, England, UK",,
nm0002436,Shannon Elizabeth,Shannon Elizabeth Fadal,175,"September 7, 1973 in Houston, Texas, USA",1973-09-07,"Houston, Texas, USA",,
nm0002438,Burnie Burns,Michael Burns,188,"January 18, 1973 in Rochester, New York, USA",1973-01-18,"Rochester, New York, USA",,
nm0002557,Vanja Cernjul,Vanja Cernjul,,"June 3, 1968 in Zagreb, Croatia",1968-06-03,"Zagreb, Croatia",,
nm0002718,Brian Koppelman,Brian Koppelman,,"1966 in Roslyn Harbor, Long Island, New York, USA","1966 in Roslyn Harbor, Long Island, New York, USA","Roslyn Harbor, Long Island, New York, USA",,
nm0002645,Paolo Genovese,Paolo Genovese,,"August 20, 1966 in Rome, Lazio, Italy",1966-08-20,"Rome, Lazio, Italy",,
nm0002653,Joe Johnston,Joseph Eggleston Johnston II,187,"May 13, 1950 in Austin, Texas, USA",1950-05-13,"Austin, Texas, USA",,
nm0002947,Toby Oliver,Toby Oliver,,,,,,
nm0002657,Gary Ross,Gary Ross,,"November 3, 1956 in Los Angeles, California, USA",1956-11-03,"Los Angeles, California, USA",,
nm0002659,Les Weldon,Les Weldon,,,,,,
nm0002681,Jim Denault,Jim Denault,,"July 25, 1960 in New York, USA",1960-07-25,"New York, USA",,
nm0002684,Michael Galbraith,Michael Galbraith,,,,,,
nm0002685,Roger Neill,Roger Neill,,"December 26, 1963 in San Diego, California, USA",1963-12-26,"San Diego, California, USA",,
nm0002700,Malcolm D. Lee,Malcolm D. Lee,192,"January 11, 1970 in USA",1970-01-11,USA,,
nm0002706,David L. Bertman,David L. Bertman,,,,,,
nm0002728,Juan José Campanella,Juan José Campanella,,"July 19, 1959 in Buenos Aires, Argentina",1959-07-19,"Buenos Aires, Argentina",,
nm0002747,Mark Sanger,Mark Sanger,198,"January 13, 1974 in Hemel Hempstead, Hertfordshire, England, UK",1974-01-13,"Hemel Hempstead, Hertfordshire, England, UK",,
nm0002854,Jens Schlosser,Jens Schlosser,,"December 1, 1954",1954-12-01,,,
nm0002864,Michael Markowitz,Michael Markowitz,,"August 15, 1961",1961-08-15,,,
nm0002892,Wally Pfister,Walter Pfister,,"July 8, 1961 in Chicago, Illinois, USA",1961-07-08,"Chicago, Illinois, USA",,
nm0002907,Alexander Skarsgård,Alexander Johan Hjalmar Skarsgård,194,"August 25, 1976 in Stockholm, Stockholms län, Sweden",1976-08-25,"Stockholm, Stockholms län, Sweden",,
nm0002926,Enrique Chediak,Enrique Proper Chediak,,,,,,
nm0002941,Kevin Loader,Kevin Loader,,"1956 in Bournemouth, Dorset, England, UK","1956 in Bournemouth, Dorset, England, UK","Bournemouth, Dorset, England, UK",,
nm0002969,Dina Lipton,Dina Lipton,,,,,,
nm0003021,Chris McKay,Chris McKay,,,,,,
nm0002999,Richard S. Wright,Richard S. Wright,,"August 1, 1960 in Philadelphia, Pennsylvania, USA",1960-08-01,"Philadelphia, Pennsylvania, USA",,
nm0003031,Caroline Thompson,Caroline Thompson,,"April 23, 1956 in Washington, District of Columbia, USA",1956-04-23,"Washington, District of Columbia, USA",,
nm0003032,Bob Ducsay,Bob Ducsay,,,,,,
nm0003069,James DuMont,James DuMont,175,"August 12, 1965",1965-08-12,,,
nm0003102,Job ter Burg,Job ter Burg,,"September 13, 1972 in Maarn, Utrecht, Netherlands",1972-09-13,"Maarn, Utrecht, Netherlands",,
nm0003117,Ken Wheat,Ken Wheat,,1950,1950,,,
nm0003139,Ingo Frenzel,Ingo Frenzel,,"November 9, 1966",1966-11-09,,,
nm0003140,David Klein,David Klein,,"December, 1972",1972-12-01,,,
nm0003141,Alan Bennett,Alan Bennett,183,"May 9, 1934 in Armley, Leeds, Yorkshire, England, UK",1934-05-09,"Armley, Leeds, Yorkshire, England, UK",,
nm0003151,Melissa Kent,Melissa Kent,,,,,,
nm0003160,Christopher McQuarrie,Christopher Allen McQuarrie,,"October 25, 1968 in Princeton, New Jersey, USA",1968-10-25,"Princeton, New Jersey, USA",,
nm0003201,Tim Sullivan,Tim Sullivan,,"February, 1958 in Germany",1958-02-01,Germany,,
nm0003205,Steve Gainer,Steve Gainer,,"October 25, 1962 in Alexandria, Louisiana, USA",1962-10-25,"Alexandria, Louisiana, USA",,
nm0003244,Jordi Mollà,Jordi Mollà Perales,178,"July 1, 1968 in L'Hospitalet de Llobregat, Barcelona, Catalonia, Spain",1968-07-01,"L'Hospitalet de Llobregat, Barcelona, Catalonia, Spain",,
nm0003289,John Putch,John Paul Putch,,"July 27, 1961 in Chambersburg, Pennsylvania, USA",1961-07-27,"Chambersburg, Pennsylvania, USA",,
nm0003298,Scott Rosenberg,Scott Rosenberg,,"April 24, 1963 in Needham, Massachusetts, USA",1963-04-24,"Needham, Massachusetts, USA",,
nm0003299,Marc Shaiman,Marc Shaiman,165,"October 22, 1959 in New Jersey, USA",1959-10-22,"New Jersey, USA",,
nm0003363,Marc Vanocur,Marc Vanocur,,"June 29, 1969 in Santa Monica, California, USA",1969-06-29,"Santa Monica, California, USA",,
nm0003372,Chris Seager,Chris Seager,,"1949 in Leicester, Leicestershire, England, UK","1949 in Leicester, Leicestershire, England, UK","Leicester, Leicestershire, England, UK",,
nm0003388,Brian Pearson,Brian Pearson,,1967,1967,,,
nm0003394,Lawrence Sher,Lawrence Sher,,"February 4, 1970 in Teaneck, New Jersey, USA",1970-02-04,"Teaneck, New Jersey, USA",,
nm0003417,David Arnold,David Arnold,,"January 23, 1962 in Luton, England, UK",1962-01-23,"Luton, England, UK",,
nm0003418,Rob Cohen,Rob Cohen,,"March 12, 1949 in Cornwall, New York, USA",1949-03-12,"Cornwall, New York, USA",,
nm0003446,Jonathan Brown,Jonathan Brown,,"February 17, 1970 in Philadelphia, USA",1970-02-17,"Philadelphia, USA",,
nm0003458,Steven R. Monroe,Steven R. Monroe,,"September 15, 1964 in New York, USA",1964-09-15,"New York, USA",,
nm0003475,Saul Pincus,Saul Pincus,192,,,,,
nm0003483,Sarah Flack,Sarah Flack,,,,,,
nm0003493,Steve Tom,Steve Tom,188,"September 20, 1953 in Houston, Texas, USA",1953-09-20,"Houston, Texas, USA",,
nm0003506,James Mangold,James Allen Mangold,183,"December 16, 1963 in New York City, New York, USA",1963-12-16,"New York City, New York, USA",,
nm0003518,Richard Comeau,Richard Comeau,,"1960 in Chicoutimi, Québec, Canada","1960 in Chicoutimi, Québec, Canada","Chicoutimi, Québec, Canada",,
nm0003529,Dan Harris,Dan Harris,175,"August 29, 1979 in Kingston, Pennsylvania, USA",1979-08-29,"Kingston, Pennsylvania, USA",,
nm0003542,Philippe Rousselot,Philippe Rousselot,,"September 4, 1945 in Briey, Meurthe-et-Moselle, France",1945-09-04,"Briey, Meurthe-et-Moselle, France",,
nm0003552,Stephen Goldblatt,Stephen Lewis Goldblatt,,"April 29, 1945 in Johannesburg, South Africa",1945-04-29,"Johannesburg, South Africa",,
nm0003557,Richard J. Lewis,Richard J. Lewis,,,,,,
nm0003631,Denis Lenoir,Denis Lenoir,,"1949 in Paris, France","1949 in Paris, France","Paris, France",,
nm0003646,Samu Heikkilä,Samu Heikkilä,,"July 31, 1971 in Karstula, Finland",1971-07-31,"Karstula, Finland",,
nm0003659,Phedon Papamichael,Phedon Papamichael Jr.,,"February, 1962 in Athens, Greece",1962-02-01,"Athens, Greece",,
nm0004020,Steven Douglas Smith,Steven Douglas Smith,,,,,,
